aweme_id,desc,create_time,images,thumb
7138787392965643532,来队友，来cp，把我姐妹带走~#和平精英 #吃鸡舞蹈秀 #跟你的姐妹一起拍,1662128470,,['0b21a6d438f08dc7daf046c31278092b.jpeg']
7139372267670179084,那你呢，也觉得遇见我是件很幸运的事吗？#和平精英,1662264648,,['99013db38326db69503d6396b0120c55.jpeg']
7152099022239550732,#和平精英 #吃鸡舞蹈秀,1665227828,,['afc4a6b674f37b7eb47ad4a240d52ebf.jpeg']
7153883512490265889,,1665643313,,['f4a3ecc6bd072c0e15642a8115dcc0ca.jpeg']
7163491936446221607,#和平精英,1667880450,,['f86e343336d1290b98914fd499c70151.jpeg']
7163957328956493067,#和平精英,1667988802,,['416d2849be049f38979cf63bb22ca036.jpeg']
7169604167764364583,来雨林双排打散一对是一对🌝 #游戏日常 #一起打卡小美好,1669303559,,['815b27b83a6218075191e96d02e6dcae.jpeg']
7175433769464204577,有我这样的队友，你几点上号？#我的最佳队友 #和平精英,1670660873,,['287a34e651f93d5162e78101883b8416.jpeg']
7179581945427397926,Nobody but me can make me safe 。#和平精英,1671626695,,['0183c6b8ab326aacdc31e3730a15cfd1.jpeg']
7182086408415218977,#和平精英家园模式 #和平精英,1672209818,,['3e0fca65987f3afacdb8dfac2531d4ec.jpeg']
7187293093538827531,那些念念不忘的人，在念念不忘中被遗忘。#和平精英,1673422089,,['26292b9f4a1111f8577fe10e8dc86054.jpeg']
7197282726830034179,打游戏你们喜欢蠢萌的女生还是旗鼓相当的？#和平精英 #和平精英舞蹈秀,1675747985,,['b301bf1c50e56e1bd6dec3bf787197cd.jpeg']
7199898878458481959,送君茉莉，愿君莫离。#和平精英仙剑奇侠传 #和平精英舞蹈秀 #仙气十足,1676357098,,['a6fb6b5e3cc0033e3e3bf917abd35e90.jpeg']
7205041474705181964,#和平精英 #游戏要和有趣的人一起玩,1677554459,,['7f4ec052d4d9cdfee9e280357b4fd9de.jpeg']
7210655232454397222,,1678861511,,['f97d21661bc41f13ecd590feca9bdcd5.jpeg']
7226805893856283907,谢谢大家，我真的好想说我不配啊。师父让我不忘初心，我在想我直播的初心是什么。一开始是热爱电竞，从lol到和平精英，后面做了电竞老师，后来为了亲人生病兼职直播挣钱，后来遇到了师父。初心是一开始的目的吗？如果回到最初，我希望尽我所能通过游戏给大家带去快乐和陪伴。我是个懂得感恩的女孩子，大家不用教我感恩，这是我刻在骨子里的东西，不会忘记我现在的师父，也不会忘记以前的师父。饮水思源，谢谢大家，我张君雅也不知道说啥了，一句牛b送给大家吧，哈哈哈哈,1682621943,,['7786d3385e8405244675a3acc23f06c3.jpeg']
7227420864394956044,,1682765060,,['0bd48a2baa11f83dd6402b944e6e3f80.jpeg']
7247196137751416067,祝大家端午安康,1687369380,"['088bf55d0e0ce1e59cf6d55992c70252.webp', '5f6a21f3e70269cac8254ecf0058308e.webp']",['0afdd491704a1048e282e794f358c28e.jpeg']
7250043577139547403,路匹的小姐姐说去帮我要关注，让我等她，她给我拍视频😂,1688032321,,['dbfcf648b954db1f79f8de4a6376bd41.jpeg']
7253882584172727585,你为什么喜欢张君雅呢？,1688926242,['c5e4cc9cada0364a576194b7ebcf4bf8.webp'],['31d573b5053b34ea1ac96121e54af156.jpeg']
7256877984840191271,这是我喜欢的女主播名字，她长得漂亮，心地善良，幽默风趣，才艺多多，编不下去,1689623644,,['e32d7df127b68132f3cb6b4ec4d7419b.jpeg']
7260553596696038719,不会有人没有叭🌝#成都大运会,1690479384,,['ddba7b4e65970f43a5e0a4dc34b8e95d.jpeg']
7261986966361689380,走啦，就走啦！以后会更好的对吧！,1690813110,['2e24cb6d6618772c3dbc4dd132abb04c.webp'],['cd1f4861d40f083061ddf44d273860ef.jpeg']
7264498965226327308,耳朵痛了几天，不敢去医院太麻烦啦。。。诊所大夫说发炎了，让我别去碰了。我还没开始就要退役了么，5555…,1691397976,['d2dac365b7ac70783e2a2478efd9caa7.webp'],['d5571f9650d20d6fa85e11801cc7da51.jpeg']
7268594825438563595,可是我不配😂😂😂,1692351617,,['fafb9af65e64bf6297269a6fecb95d1a.jpeg']
7269328142983122215,@张君雅1v4 @国家反诈中心,1692522363,,['cc0422a5b90f70c0cb2460dfe8d9e068.jpeg']
7270477625481628967,排名没有先后，谢谢大家送给君雅的礼物。每一份都能感受到大家对她的心意和祝福。还有些展示过了就不展示了。你希望君雅送你们什么呢？,1692789990,"['7f2a14f7dd1134ebf4d3bda762010221.webp', '7abb31aed0ebb0186d0d0bbf4ae1ce60.webp', '72e58c57ae65e49450d5fd29dd64cd57.webp', 'f7d49f15ccde44916aac8fbabe7f478a.webp', '2e3e76f0119412ed51f9688a340f6ca6.webp', '7f1824728d78b55e125a25f927f8bc3f.webp', '60eee9b153a6018268561273652c421a.webp', '1acb9fe50a31adf1b990f5df66712383.webp', 'c5843543c55ed2562fe5527fc8c8ac94.webp', '40ef1f6b6e47f632295d461e89363c53.webp', 'b34ab38313fd048202cee23f4d34c83f.webp', '204cb403b9baab97aeb63ab5d8c31080.webp', '1da8560b958dbc93741b0c380653f0f4.webp', 'efaddb1a5bb257c48126c2a4414047a0.webp', '2afae7c4292e9846210b864d2ddc4d57.webp', '97daceccc4e10c9d04b58dd36931ce8d.webp', 'c9af3d7389e16d7a7882048ce3b131f6.webp', '4c89bed0aca48433ec7c1980fc043a4a.webp', '1bae0d30bbe2938b843435a911cd8213.webp', 'f000f0a8ff0b4b5bf9600174f6e5a028.webp', 'edd1c9adde6bcc460f537e1d3accf807.webp', '64911ad50551e18ed1ca736abb7c9811.webp']",['bc27af01cb0b171aa89ee172f9bb5a40.jpeg']
7273467086830144822,好开心，人生中第一双水晶鞋。,1693486028,,['afe62da9f88606383c78bb52ba9338ad.jpeg']
7273544261327441171,主播不是观世音菩萨，不能24小时普度众生。拜佛去乐山。,1693504006,,['abd9977c65f510d9d853a49177df8574.jpeg']
7274138260799048971,成都最繁华的地方了，定位啦，这里有一窝流浪猫，也不知道猫妈妈去哪啦，有兴趣的可以收养一下。（我家里有3位掉毛就不养了）,1693642304,,['7ded3392f061568edbc3c414a97957e6.jpeg']
7275038004081724735,和 @音你而悦（伴奏） 一起 #合拍,1693851799,,['8df7aadb71ce775da1ccf4a77601c00e.jpeg']
7278321506491354409,真人版比心❤️,1694616294,,['5c367772590caab2d8062fc5285e4c2b.jpeg']
7279491694582664487,不管多么辉煌，总有暗淡的那天。不管多么暗淡，总有辉煌的那天。不要骄傲，不要放弃。,1694888787,,['c9b94fcdfed3be34fe0092a13f1a1360.jpeg']
7280601633547947300,嘻嘻嘻，怼死你们,1695147176,,['dd69c5e55cc92b502f65a945bc2f7e17.jpeg']
7282449526378597644,,1695577511,"['68a5409605de6f00ad6269b9cfe20f2d.webp', '825a268b58a1ff2fef1d47b697da98c2.webp', '5448b3d5e4f835e90458c288053a733e.webp']",['a8bab0a5d86ad0eba09086f99fe1f4c6.jpeg']
7283771353864342796,很烦,1695885188,,['362d86449a36aca5e8943db22c195eea.jpeg']
7284197784171941156,谢谢姐姐定的餐厅，好高级🤪,1695984464,,['b4fd84dd02c36cce8c098828116d1581.jpeg']
7284199757856263443,哇，不敢高声语恐惊约会人,1695984926,,['1e46d69a6b53227976892cf13542e094.jpeg']
7288028342446525750,50万了，觉得自己这一路走了好久好久，回头一看才半年多。回顾和大家一起经历的点点滴滴都记忆犹新。谢谢你们一路的陪伴，大家有啥想对我说的吗？,1696876439,['575389a17b4eab9da4d74b8ca1155ae4.webp'],['90fc5164d37eb9907939066c78ef44d9.jpeg']
7290115834993708307,我用感情唱的，欣赏不来就别听了🌝,1697362369,,['b4c4647431f543e5c966d17a22d31c9f.jpeg']
7291744369164520740,希望有人把我看透，却不离开我，知道我的糟糕，也明白我的好。,1697741550,['00a11d5c0893b8046d86d5b0dce68aa9.webp'],['e7e0b39b908b1471c95f07b04642243d.jpeg']
7294249712142667062,有了！,1698324864,['2fd21354009013b56b5425ebb2f37b85.webp'],['524f8430a7b2bfd773d47c07f1b2fe69.jpeg']
7296422593656098067,不想回到过去，无能为力改变只不过是再痛苦一回。,1698830775,['136678a463d1ba6c2787bb378b8d023a.webp'],['1725e4168fa67547d65f05cac0aca4ec.jpeg']
7296853497138515219,我的愿望是世界和平,1698931104,,['4cf10d472273d2acfd94e159e7b4dfed.jpeg']
7298052219700612388,,1699210272,['0135682f8417796864112b03418f7c48.webp'],['1362250b7a7317c7602420173c0202a2.jpeg']
7298476939830988095,我会永远是你的偏爱和例外吗？,1699309094,['cbd8a50eaf1861027da6962472c8c1d7.webp'],['b41e4fb1bf20b2ec0e444856de10f1a1.jpeg']
7301455000599858471,每个人都有自己的路要走，没有人真正与你感同身受。,1700002492,,['49eea50c77821e8e285b873269f976da.jpeg']
7302232324941384971,带大家看了海上日出啦~吹洗我了，睡啦~,1700183479,,['bd9e177878da69bbb041a103eceb51f5.jpeg']
7303098485430144319,啊，可能因为没洗头吧，穿的睡衣吧，哈哈哈哈~真自闭啊！我要换个星球生活了！,1700385134,,['e636793049930a78a5f5ce4a2d3f8c07.jpeg']
7303466688584944950,都怪七锦说他玩歼灭！我还说把他拉来打一架！这下好了，在别人眼里变成处对象未遂！回想起来还是忍不住想换个星球生活。😭,1700470859,,['c1c4e40cbb1ada7bebe6ecf67bc60d56.jpeg']
7303876982108933439,就这个缝我能一穿四，信不？,1700566388,,['2cbc81a2a8c9d56bf2533a3c797a040d.jpeg']
7305690379523804455,谢谢各位的成就，我从来不觉得自己多牛逼，因为牛逼的是你们！,1700988603,['5d56f14bde563336d593d4d6e3d5f7ba.webp'],['1989f98b76d0cdd1f17676063dc86b35.jpeg']
7305979367383911719,嘿嘿嘿嘿嘿嘿,1701055888,,['4710f07f059f15792a87f8b99e7c39b3.jpeg']
7306221271652519180,没人疼，没人爱，我是一颗没人要的小白菜,1701112265,,['6547f9e799ca929ed99247fc42537691.jpeg']
7306962019436006675,求哥读我名字了🥹,1701284782,,['2e25a584109360eb1fa63b7a1744653f.jpeg']
7308051881358609675,刚下播就像你们了☺️,1701538481,,['188c518676f82e2e730db35fa0a25e3a.jpeg']
7308450830267518249,想要的举手🙋🏻‍♀️,1701631329,['8b8e18809910797f0c46cbb55b17e11b.webp'],['cf9dad326683d764b19f2b0c7556a4af.jpeg']
7308847278855310604,睡不戳啊,1701723631,,['5ed92e1c61e4dc9d097b8f55e1ebf4b2.jpeg']
7309326783063641356,,1701835275,,['a1a6e46bedd111d4d4d76b83ef676886.jpeg']
